canonical_smiles,count,original_smiles
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,2,CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1|C1=C(C=CC3=C1N(CCCN2CCN(CC2)C)C4=C(S3)C=CC=C4)C(F)(F)F
CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,2,OC(C)(C)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1|c12c(C(N(Cc3n1cnc3c1noc(n1)C(O)(C)C)C)=O)c(ccc2)Cl
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O,2,CC(C)(C)OC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CS3)C|CN1Cc2n(cnc2C(=O)OC(C)(C)C)c3ccsc3C1=O
CNCCCN1c2ccccc2Sc2ccc(Cl)cc21,2,ClC1=CC=C(C2=C1)SC3=C(N2CCCNC)C=CC=C3|N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCNC
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,2,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC|C1=C3C(=C(C(=C1)CNC2=CC(=C(C(=C2)OC)OC)OC)C)C(=NC(=N3)N)N
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,2,COc1cc2CCN3CC(CC(C)C)C(=O)CC3c2cc1OC|C1=C(OC)C(=CC3=C1C2N(CC(CC(C)C)C(C2)=O)CC3)OC
COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,2,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1|[C@H](CN1C3=C(SC2=C1C=CC=C2)C=CC(=C3)OC)(CN(C)C)C
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,2,COc1ccc2n(c(C)c(CC(O)=O)c2c1)C(=O)c3ccc(Cl)cc3|C1=CC(=CC2=C1[N](C(=C2CC(O)=O)C)C(C3=CC=C(Cl)C=C3)=O)OC
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,2,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14|[C@H]24[C@H]1[C@@]([C@](C(CO)=O)(O)CC1)(C[C@@H]([C@@H]2[C@@]3(C(=CC(=O)C=C3)[C@H](C4)C)C)O)C
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,2,Cc1onc(N[S](=O)(=O)c2ccc(N)cc2)c1|C1=CC(=CC=C1[S](NC2=NOC(=C2)C)(=O)=O)N
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,2,Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12|C1=CC(=CC3=C1[N]2C(=CN=C2C)CN=C3C4=CC=CC=C4F)Cl
ClC(Cl)Cl,2,ClC(Cl)Cl|C(Cl)(Cl)Cl
ClCCl,2,C(Cl)Cl|ClCCl
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,2,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1|C1=C(C=CC(=C1Cl)COC(C[N]2C=NC=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
FC(F)(F)CCl,2,ClCC(F)(F)F|C(CCl)(F)(F)F
FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,2,FC(F)(F)c1c(Cl)nc(N2CCNCC2)cc1|C1NCCN(C1)c1ccc(c(n1)Cl)C(F)(F)F
NC(=O)N1c2ccccc2C2OC2c2ccccc21,2,C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N|NC(=O)N1c2ccccc2C3OC3c4ccccc14
NCCCN1c2ccccc2Sc2ccc(Cl)cc21,2,ClC1=CC=C(SC(C=CC=C2)=C2N3CCCN)C3=C1|N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCN
NCCc1nccs1,2,n1c(scc1)CCN|s1c(ncc1)CCN
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,2,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O|[C@H](CC1=CC(=C(C=C1)O)O)(C(O)=O)N
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,2,NC1=NC(=O)c2ncn(COCCO)c2N1|C1=NC2=C([N]1COCCO)NC(=NC2=O)N
O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1,2,c1ccc(C(NCCCOc2cc(CN3CCCCC3)ccc2)=O)cc1|C1CN(CCC1)Cc1cccc(c1)OCCCNC(=O)c1ccccc1
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,2,Clc1ccc(cc1)C(=O)NCCN2CCOCC2|C2=C(C(NCCN1CCOCC1)=O)C=CC(=C2)Cl
O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1,2,O=C1N(CCC1)CCCCN2CCN(CC2)c3cc(C(F)(F)F)ccn3|C1N(CCN(C1)c1cc(ccn1)C(F)(F)F)CCCCN1C(CCC1)=O
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3|C1=CC=CC=C1C3(C2=CC=CC=C2)NC(=O)NC3=O
OCCCOc1cccc(CN2CCCCC2)c1,2,C1CCN(CC1)Cc1cc(OCCCO)ccc1|C1CN(CCC1)Cc1cccc(c1)OCCCO
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,2,OCCN1CCN(CC\C=C/2c3ccccc3Sc4ccc(Cl)cc24)CC1|C1=C(Cl)C=CC3=C1\C(C2=C(C=CC=C2)S3)=C/CCN4CCN(CCO)CC4
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1|C1=C(Cl)C=CC3=C1N(C2=C(C=CC=C2)S3)CCCN4CCN(CCO)CC4
c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1,2,N1(Cc2cc(OCCCNc3oc4ccccc4n3)ccc2)CCCCC1|C1CN(CCC1)Cc1cccc(c1)OCCCNc1nc2c(o1)cccc2
c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1,2,N1(Cc2cc(OCCCNc3nccs3)ccc2)CCCCC1|C1CN(CCC1)Cc1cccc(c1)OCCCNc1nccs1
c1ccc(NCCCOc2cccc(CN3CCCCC3)c2)nc1,2,N1(Cc2cccc(OCCCNc3ccccn3)c2)CCCCC1|C1CN(CCC1)Cc1cccc(c1)OCCCNc1ncccc1
c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,2,C1CN2CCC1C(C2)CN3c4ccccc4Sc5ccccc35|C1=CC=CC2=C1SC5=C(N2CC3C4CCN(C3)CC4)C=CC=C5
