CMPD_CHEMBLID,exp,smiles,description
CHEMBL1940306,1.51,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,"CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1：This molecule, defined by the chemical formula C22H23NO4S, possesses a molecular weight of 397.5 g/mol. The structural framework incorporates aromatic benzene rings, ether groups. Topological analysis indicates the presence of 5 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.44. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.69 and a TPSA of 66.84 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 3 rotatable bonds and a FractionCSP3 of 0.36, while its interaction profile is defined by 1 hydrogen bond donor(s) and 5 acceptor(s)."
CHEMBL578201,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,"C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3：This molecule, defined by the chemical formula C17H17FN8, possesses a molecular weight of 352.38 g/mol. The structural framework incorporates halogen substituents. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.88. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.14 and a TPSA of 115.2 Å². It contains 26 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.24, while its interaction profile is defined by 3 hydrogen bond donor(s) and 7 acceptor(s)."
CHEMBL276218,-0.08,O=C1CCCCCN1,"O=C1CCCCCN1：This molecule, defined by the chemical formula C6H11NO, possesses a molecular weight of 113.16 g/mol. The structural framework incorporates amide groups. Topological analysis indicates the presence of 1 ring system(s), including 0 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.27. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 0.68 and a TPSA of 29.1 Å². It contains 8 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 0 rotatable bonds and a FractionCSP3 of 0.83, while its interaction profile is defined by 1 hydrogen bond donor(s) and 1 acceptor(s).
Caprolactam is a clear to milky white-colored solution with a mild, disagreeable odor. Contact may cause slight irritation to skin, eyes, and mucous membranes. May be mildly toxic by ingestion. The primary hazard is the threat to the environment. Immediate steps should be taken to limit its spread to the environment. As a liquid it can easily penetrate the soil and contaminate groundwater and nearby streams. Used to make other chemicals.Epsilon-caprolactam is a member of the class of caprolactams that is azepane substituted by an oxo group at position 2. It has a role as a human blood serum metabolite.Caprolactam is used in the manufacture of synthetic fibers. Acute (short-term) exposure to caprolactam may result in irritation and burning of the eyes, nose, throat, and skin in humans. Headaches, malaise, confusion, and nervous irritation have been observed in workers exposed to caprolactam by inhalation. Chronic (long-term) exposure of workers to caprolactam has been observed to cause peeling of the hands and some eye, nose, and throat irritation, but no other effects on general health. EPA has not classified caprolactam for carcinogenicity.Caprolactam has been reported in Fagopyrum esculentum, Nicotiana tabacum, and Vitis vinifera with data available.Cyclic amide of caproic acid used in manufacture of synthetic fibers of the polyamide type. Can cause local irritation."
CHEMBL2153181,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,"CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3：This molecule, defined by the chemical formula C18H21N3OS, possesses a molecular weight of 327.45 g/mol. The structural framework incorporates amide groups. Topological analysis indicates the presence of 3 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.85. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.96 and a TPSA of 46.09 Å². It contains 23 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.39, while its interaction profile is defined by 0 hydrogen bond donor(s) and 4 acceptor(s)."
CHEMBL1916276,1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,"CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4：This molecule, defined by the chemical formula C24H28N4O3S, possesses a molecular weight of 452.58 g/mol. The structural framework incorporates aromatic benzene rings, amide groups. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.7. It contains 2 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 4.29 and a TPSA of 93.09 Å². It contains 32 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 6 rotatable bonds and a FractionCSP3 of 0.33, while its interaction profile is defined by 2 hydrogen bond donor(s) and 5 acceptor(s)."
CHEMBL93884,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,"Nc1ccc(cc1)c2nc3ccc(O)cc3s2：This molecule, defined by the chemical formula C13H10N2OS, possesses a molecular weight of 242.3 g/mol. The structural framework incorporates aromatic benzene rings, phenolic hydroxyls, primary amine groups. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.14. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.25 and a TPSA of 59.14 Å². It contains 17 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 1 rotatable bonds and a FractionCSP3 of 0.0, while its interaction profile is defined by 2 hydrogen bond donor(s) and 4 acceptor(s)."
CHEMBL2171986,1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,"COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N：This molecule, defined by the chemical formula C21H28N4O3, possesses a molecular weight of 384.48 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, ether groups. Topological analysis indicates the presence of 3 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.58. It contains 2 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 1.79 and a TPSA of 85.67 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.57, while its interaction profile is defined by 1 hydrogen bond donor(s) and 5 acceptor(s)."
CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,"CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2：This molecule, defined by the chemical formula C22H29NO5, possesses a molecular weight of 387.48 g/mol. The structural framework incorporates aromatic benzene rings, ester linkages, ether groups. Topological analysis indicates the presence of 2 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.31. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.74 and a TPSA of 57.23 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 9 rotatable bonds and a FractionCSP3 of 0.41, while its interaction profile is defined by 0 hydrogen bond donor(s) and 6 acceptor(s).
3,4,5-trimethoxybenzoic acid [2-(dimethylamino)-2-phenylbutyl] ester is a trihydroxybenzoic acid.Trimebutine is a spasmolytic agent that regulates intestinal and colonic motility and relieves abdominal pain with antimuscarinic and weak mu opioid agonist effects. It is marketed for the treatment of irritable bowel syndrome (IBS) and lower gastrointestinal tract motility disorders, with IBS being one of the most common multifactorial GI disorders. It is used to restore normal bowel function and is commonly present in pharmaceutical mixtures as trimebutine maleate salt form. Trimebutine is not a FDA-approved drug, but it is available in Canada and several other international countries.TRIMEBUTINE is a small molecule drug with a maximum clinical trial phase of III (across all indications) and has 2 investigational indications.Proposed spasmolytic with possible local anesthetic action used in gastrointestinal disorders."
CHEMBL469790,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,"COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5：This molecule, defined by the chemical formula C22H19ClN4O3S, possesses a molecular weight of 454.94 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents, ether groups. Topological analysis indicates the presence of 5 ring system(s), including 4 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.55. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.74 and a TPSA of 80.48 Å². It contains 31 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 4 rotatable bonds and a FractionCSP3 of 0.23, while its interaction profile is defined by 1 hydrogen bond donor(s) and 8 acceptor(s)."
CHEMBL2165055,0.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,"CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4：This molecule, defined by the chemical formula C26H28N6O4, possesses a molecular weight of 488.55 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, ether groups. Topological analysis indicates the presence of 5 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.2. It contains 2 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 1.48 and a TPSA of 121.51 Å². It contains 36 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 7 rotatable bonds and a FractionCSP3 of 0.38, while its interaction profile is defined by 2 hydrogen bond donor(s) and 9 acceptor(s)."
CHEMBL322479,2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,"CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23：This molecule, defined by the chemical formula C25H34N2O3S, possesses a molecular weight of 442.63 g/mol. The structural framework incorporates aromatic benzene rings, phenolic hydroxyls, ether groups. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.29. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 5.44 and a TPSA of 74.61 Å². It contains 31 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 13 rotatable bonds and a FractionCSP3 of 0.48, while its interaction profile is defined by 3 hydrogen bond donor(s) and 6 acceptor(s)."
CHEMBL2036736,1.92,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,"Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4：This molecule, defined by the chemical formula C20H18ClN5O4, possesses a molecular weight of 427.85 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, halogen substituents, ether groups. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.35. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.06 and a TPSA of 109.59 Å². It contains 30 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.2, while its interaction profile is defined by 2 hydrogen bond donor(s) and 7 acceptor(s)."
CHEMBL2179291,3.17,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,"COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1：This molecule, defined by the chemical formula C24H27N3O4, possesses a molecular weight of 421.5 g/mol. The structural framework incorporates aromatic benzene rings, ether groups. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.44. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.48 and a TPSA of 76.56 Å². It contains 31 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 6 rotatable bonds and a FractionCSP3 of 0.33, while its interaction profile is defined by 1 hydrogen bond donor(s) and 6 acceptor(s).
Error: HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Read timed out. (read timeout=15)"
CHEMBL2158823,2.17,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,"OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2：This molecule, defined by the chemical formula C24H28Cl2N2O3, possesses a molecular weight of 463.41 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents, ether groups. Topological analysis indicates the presence of 4 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.21. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 5.45 and a TPSA of 53.01 Å². It contains 31 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 6 rotatable bonds and a FractionCSP3 of 0.46, while its interaction profile is defined by 1 hydrogen bond donor(s) and 4 acceptor(s)."
CHEMBL641,1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,"CNCC[C@@H](Oc1ccccc1C)c2ccccc2：This molecule, defined by the chemical formula C17H21NO, possesses a molecular weight of 255.36 g/mol. The structural framework incorporates aromatic benzene rings, ether groups. Topological analysis indicates the presence of 2 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.17. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.72 and a TPSA of 21.26 Å². It contains 19 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 6 rotatable bonds and a FractionCSP3 of 0.29, while its interaction profile is defined by 1 hydrogen bond donor(s) and 2 acceptor(s).
Atomoxetine is a secondary amino compound having methyl and 3-(2-methylphenoxy)-3-phenylpropan-1-yl substituents. It has a role as an adrenergic uptake inhibitor, an antidepressant, a xenobiotic and an environmental contaminant. It is an aromatic ether, a secondary amino compound and a member of toluenes.Atomoxetine is a selective norepinephrine (NE) reuptake inhibitor used for the treatment of attention deficit hyperactivity disorder (ADHD). Also known as the marketed product Strattera, atomoxetine is used with other treatment modalities (psychological, educational, cognitive behaviour therapy, etc) to improve developmentally inappropriate symptoms associated with ADHD including distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. Although the underlying pathophysiology that causes ADHD remains unclear, evidence suggests that dysregulation in noradrenergic and dopaminergic pathways plays a critical role in suboptimal executive functioning within prefrontal regions of the brain, which are involved in attention and memory. Atomoxetine has been shown to specifically increase NA and DA within the prefrontal cortex, but not in the nucleus accumbens (NA) or striatum. This is beneficial in the treatment of ADHD as DA activation in the subcortical NA and striatum is associated with many stimulant-associated side effects and an increase in abuse potential, which is a limiting factor associated with the use of stimulant medications such as [DB00422], [DB01576], and [DB01255]. Use of non-stimulant medications such as atomoxetine is therefore thought to offer a clinical advantage over the use of traditional medications for the management of ADHD. More recently, positron emission tomography (PET) imaging studies in rhesus monkeys have shown that atomoxetine also binds to the serotonin transporter (SERT), and blocks the N-methyl-d-aspartate (NMDA) receptor, indicating a role for the glutamatergic system in the pathophysiology of ADHD.   Long-acting formulations of psychostimulants (such as [DB00422], [DB01576], and [DB01255]) are typically considered the most effective and first-line treatment for ADHD in adults and children as recommended by CADDRA (Canadian ADHD Resource Alliance). However, these stimulant medications are limited by dose-related side effects and concerns of abuse. Many contain a blackbox warning stating that CNS stimulants, including methylphenidate-containing products and amphetamines, have a high potential for abuse and dependence. In particular, increased dopamine in key areas caused by these stimulant medications is associated with their reinforcing and addictive properties, and even amplifies the potency and reinforcing effects of other drugs of abuse such as amphetamines, making ADHD sufferers more susceptible to their addictive effects. Concerns about abuse potential have spurred research into medications with fewer effects on DA and the use of non-stimulant ADHD medications including atomoxetine, [DB00745] and [DB01018]. The non-stimulant norepinephrine/dopamine reuptake inhibitor [DB01156] (commonly used for the treatment of depression and for smoking cessation) has also been shown to be effective in the treatment of ADHD.Atomoxetine is a Norepinephrine Reuptake Inhibitor. The mechanism of action of atomoxetine is as a Norepinephrine Uptake Inhibitor.Atomoxetine is a selective norepinephrine reuptake inhibitor used primarily for therapy of attention deficit hyperactivity disorder. Atomoxetine has been linked to a low rate of serum aminotransferase elevations and to rare cases of acute, clinically apparent liver injury.ATOMOXETINE is a small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2002 and is indicated for attention deficit hyperactivity disorder and has 21 investigational indications. This drug has a black box warning from the FDA.Atomoxetine is the first non-stimulant drug approved for the treatment of attention-deficit hyperactivity disorder (ADHD). It is sold in the form of the hydrochloride salt of atomoxetine. This chemical is manufactured and marketed under the brand name Strattera; by Eli Lilly and Company and as a generic Attentin by Torrent Pharmaceuticals. There is currently no generic available within the United States due to patent restrictions.See also: Atomoxetine Hydrochloride (active moiety of)."
